164.19 -48.53 14 3.45 0.72 -4.17 -0.01 -2.88 0.37 23 X Y 200710030143A 5.1
164.24 -48.74 18 4.17 0.52 -4.69 2.58 -1.71 -0.12 23 X Y 200710030332A 5.1
164.20 -48.74 12 0.68 0.13 -0.81 0.39 -0.36 -0.20 24 X Y 200710031803A 5.3
172.82 -41.98 64 0.01 0.48 -0.50 1.36 0.28 1.08 24 X Y 200710031915A 5.5
167.24 -44.71 19 1.24 -0.15 -1.09 0.07 -1.34 -0.82 26 X Y 200710151229A 6.8
167.25 -44.62 19 0.97 0.16 -1.13 -0.55 -0.99 -0.50 25 X Y 200710152128A 6.1
167.21 -44.59 27 1.40 1.37 -2.77 0.73 -1.81 -1.59 23 X Y 200710161638A 5.0
167.32 -44.94 116 5.83 -3.66 -2.17 1.48 -4.76 -3.90 23 X Y 200711291553A 5.3
164.27 -49.22 35 0.41 0.42 -0.83 0.54 -0.09 0.24 24 X Y 200712051807A 5.3
178.40 -38.92 30 -0.76 0.57 0.19 -0.06 0.21 0.56 26 X Y 200712200755A 6.6
167.00 -44.88 14 1.88 -0.56 -1.31 -0.34 -1.50 -0.97 24 X Y 200801201841A 5.6
164.03 -49.12 12 0.38 0.23 -0.61 -0.43 -0.71 -0.21 25 X Y 200804262334A 5.9
166.72 -45.56 112 -0.68 3.77 -3.10 0.95 -3.04 -3.62 23 X Y 200807120008A 5.2
176.91 -39.67 26 -1.27 -0.07 1.34 0.28 -0.63 0.65 24 X Y 200808251125A 5.4
175.88 -39.14 96 0.02 0.76 -0.78 0.26 -0.25 -0.04 24 X Y 200809010121A 5.3
173.89 -42.47 20 3.22 -0.38 -2.85 0.06 3.03 -1.64 23 X Y 200809242240A 5.1
173.95 -42.25 22 3.35 -0.35 -3.00 -1.52 2.63 -2.01 23 X Y 200809260723A 5.1
164.32 -49.08 38 3.06 2.23 -5.29 3.14 -0.49 0.64 23 X Y 200903141050A 5.1
178.58 -38.66 14 -2.56 0.88 1.68 0.86 0.72 1.26 23 X Y 200904081112A 4.9
166.26 -45.85 23 3.14 0.76 -3.90 2.59 -3.75 -0.03 27 X Y 200907150922A 7.8
165.75 -46.13 21 1.06 -0.00 -1.06 -0.02 -0.78 -0.09 24 X Y 200907160044A 5.4
166.36 -45.38 17 0.29 4.07 -4.37 0.79 -1.80 -0.45 23 X Y 200907161727A 5.1
165.85 -46.12 18 1.78 0.80 -2.58 1.95 -3.86 -0.11 24 X Y 200907162218A 5.8
166.44 -45.24 24 0.34 6.05 -6.39 1.89 -1.42 -0.68 23 X Y 200907170639A 5.2
166.42 -45.46 22 3.08 -0.04 -3.03 -2.56 -2.96 -0.48 23 X Y 200907181533A 5.1
166.02 -45.44 12 1.13 -0.05 -1.08 0.00 -1.41 -0.37 24 X Y 200907190511A 5.5
166.07 -45.41 12 0.69 -0.05 -0.64 0.03 -0.56 -0.18 24 X Y 200907190848A 5.3
165.67 -46.21 29 2.87 0.06 -2.93 0.70 -2.26 0.01 23 X Y 200907292042A 5.0
166.13 -45.48 12 1.07 -0.02 -1.05 0.02 -1.21 -0.40 25 X Y 200908050831A 6.1
165.72 -46.01 13 -3.09 1.10 1.98 -0.24 -0.05 1.68 23 X Y 200908171656A 5.0
165.82 -45.90 25 0.93 1.92 -2.84 0.38 -6.11 -2.07 23 X Y 200908250457A 5.2
165.84 -46.04 26 2.84 0.21 -3.05 -1.82 -4.01 -1.07 23 X Y 201002250438A 5.1
164.56 -48.71 30 0.88 0.11 -0.99 0.46 -0.26 -0.09 24 X Y 201003180624A 5.3
