 UNICAS data file          : CPT_18 (at 58 m below ML).000           
 Output using command file : Qc+Qt+Qn+Fs+U2+Rf+Bq.ucf

 ASCII file created at : date          :03-Jul-2015
                         time          :11:13:12
 Project number                        :N6016/01 (3)                                                                                        
 Date of testing                       :15-Apr-2015                                                                                         
 Location                              :BH-WFS1-1                                                                                           
 Test name                             :CPT18
 Penetrometer                          :CP10-CF50PB10
 Serial no                             :1706-1913

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Qnet-                                 :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]


 Data table:
  Rec    Depth      Time       Cone      Qnet-         qt   Friction     Pore 2         Bq Fric_ratio           
   No        m         s        MPa        MPa        MPa        MPa        MPa          -          %           
  107   60.120    277.20     9.4283     8.2768     9.4476     0.1736     0.0973    -0.0633     1.7651           
  108   60.140    278.13     8.2409     7.1223     8.2935     0.1668     0.2551    -0.0547     1.9309           
  109   60.160    279.06     7.4308     6.3476     7.5192     0.1494     0.3789    -0.0389     1.9403           
  110   60.180    279.99     6.8378     5.7792     6.9512     0.1394     0.4938    -0.0257     2.0401           
  111   60.200    280.93     7.4957     6.4592     7.6316     0.1384     0.5464    -0.0091     1.9071           
  112   60.220    281.89     8.5043     7.4700     8.6428     0.1562     0.5815    -0.0065     1.8690           
  113   60.240    282.86     9.5510     8.4978     9.6710     0.1684     0.4166    -0.0142     1.8285           
  114   60.260    283.82    10.9589     9.8460    11.0196     0.1856     0.2271    -0.0365     1.7473           
  115   60.280    284.77    12.0988    10.9566    12.1306     0.2163     0.0555    -0.0434     1.8351           
  116   60.300    285.73    12.4080    11.2268    12.4012     0.2147    -0.0241    -0.0562     1.7343           
  117   60.320    286.69    12.7866    11.6045    12.7793     0.2122    -0.0436    -0.0545     1.6750           
  118   60.340    287.64    12.2769    11.0828    12.2580     0.2098    -0.0740    -0.0613     1.6751           
  119   60.360    288.57    11.2362    10.0489    11.2245     0.1924    -0.0362    -0.0648     1.6583           
  120   60.380    289.51    10.3624     9.1849    10.3609     0.2052     0.0012    -0.0664     1.9553           
  121   60.400    290.46    10.3184     9.1487    10.3251     0.2118     0.0346    -0.0631     2.0641           
  122   60.420    291.40    10.2742     9.1049    10.2817     0.2103     0.0383    -0.0631     2.0309           
  123   60.440    292.34    10.0049     8.8309    10.0081     0.1923     0.0069    -0.0670     1.9097           
  124   60.460    293.27     9.6222     8.4510     9.6286     0.1821     0.0446    -0.0685     1.8695           
  125   60.480    294.22     9.1867     8.0290     9.2070     0.1941     0.0885    -0.0652     2.0924           
  126   60.500    295.17     9.6154     8.4621     9.6405     0.2015     0.1069    -0.0596     2.1263           
  127   60.520    296.12     9.5783     8.4279     9.6067     0.2048     0.1066    -0.0583     2.1427           
  128   60.540    297.08    10.1800     9.0200    10.1992     0.2130     0.0718    -0.0586     2.1371           
  129   60.560    298.03    10.9914     9.8330    11.0126     0.2192     0.0908    -0.0531     2.0393           
  130   60.580    298.99    12.1958    11.0325    12.2125     0.2211     0.0500    -0.0488     1.8972           
  131   60.600    299.94    13.6589    12.4851    13.6655     0.2248     0.0260    -0.0465     1.6906           
  132   60.620    300.94    15.7261    14.5402    15.7210     0.2346    -0.0619    -0.0430     1.5382           
  133   60.640    302.08    17.6866    16.4742    17.6554     0.2386    -0.1312    -0.0444     1.3598           
  134   60.660    303.32    18.7883    17.5741    18.7557     0.2386    -0.1288    -0.0419     1.2735           
  135   60.680    304.61    19.2917    18.0786    19.2606     0.2440    -0.1229    -0.0405     1.2665           
  136   60.700    305.91    19.4984    18.2864    19.4688     0.2618    -0.1165    -0.0397     1.3445           
  137   60.720    307.21    19.5003    18.2914    19.4742     0.2589    -0.1025    -0.0389     1.3280           
  138   60.740    308.50    19.1228    17.9142    19.0974     0.2350    -0.1022    -0.0396     1.2262           
  139   60.760    309.74    18.4108    17.2023    18.3859     0.2491    -0.0977    -0.0411     1.3383           
  140   60.780    310.95    17.8239    16.6164    17.8004     0.2899    -0.0925    -0.0422     1.6227           
  141   60.800    312.15    17.3223    16.1161    17.3005     0.3268    -0.0853    -0.0431     1.8736           
  142   60.820    313.35    17.0524    15.8451    17.0299               -0.0928    -0.0441                      
  143   60.840    314.41    15.6591    14.4493    15.6345               -0.1008    -0.0490                      
  144   60.860    315.39    13.2651    12.0534    13.2390               -0.1045    -0.0594                      
  145   60.880    316.34    10.6554     9.4426    10.6286               -0.1068    -0.0760                      
  146   60.900    317.28     8.7568     7.5452     8.7316               -0.0969    -0.0941                      
  147   60.915    318.25     6.9025     5.6939     6.8806                          -0.1223                      
 
 
